地区,60岁及以上人口,,,健康,,,基本健康,,,不健康，但生活能自理,,,生活不能自理,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
全国,17658702,8607680,9051022,7738173,4150213,3587960,6945041,3176142,3768899,2455267,1064729,1390538,520221,216596,303625
北京,250084,118583,131501,99865,51709,48156,107068,48549,58519,32082,13652,18430,11069,4673,6396
天津,162233,78029,84204,71973,37875,34098,67182,30285,36897,17195,7267,9928,5883,2602,3281
河北,928642,450063,478579,419065,223831,195234,341585,153799,187786,135863,58852,77011,32129,13581,18548
山西,414649,205903,208746,166386,92647,73739,165709,77211,88498,67164,29482,37682,15390,6563,8827
内蒙古,275828,137565,138263,115534,63545,51989,105312,49682,55630,45236,19999,25237,9746,4339,5407
辽宁,672227,326082,346145,290920,156959,133961,270482,121123,149359,92374,39662,52712,18451,8338,10113
吉林,349177,170725,178452,138085,75118,62967,144781,66330,78451,57155,24949,32206,9156,4328,4828
黑龙江,468616,229664,238952,199247,106452,92795,186754,85349,101405,70846,32242,38604,11769,5621,6148
上海,345592,165345,180247,150971,80339,70632,150631,67199,83432,31175,12607,18568,12815,5200,7615
江苏,1247962,598544,649418,626603,330740,295863,464007,202380,261627,127580,53329,74251,29772,12095,17677
浙江,759091,377570,381521,400645,215946,184699,266096,119703,146393,74373,34152,40221,17977,7769,10208
安徽,853195,421912,431283,321509,181502,140007,354089,164907,189182,148715,64084,84631,28882,11419,17463
福建,420377,206976,213401,209198,111845,97353,163901,74194,89707,38889,17525,21364,8389,3412,4977
江西,504043,245931,258112,224487,122278,102209,206832,92353,114479,61859,26779,35080,10865,4521,6344
山东,1400109,661388,738721,729311,378178,351133,462980,198008,264972,170304,70278,100026,37514,14924,22590
河南,1196924,569894,627030,567448,295386,272062,419979,187347,232632,171312,72514,98798,38185,14647,23538
湖北,779566,382160,397406,277089,153831,123258,347418,163091,184327,131477,55664,75813,23582,9574,14008
湖南,939818,469609,470209,330267,185827,144440,413669,197294,216375,167987,74863,93124,27895,11625,16270
广东,957360,461728,495632,492653,255966,236687,366579,164524,202055,80918,34418,46500,17210,6820,10390
广西,616828,296065,320763,277551,145405,132146,243746,111190,132556,81266,33659,47607,14265,5811,8454
海南,93525,44616,48909,37806,20174,17632,37809,17311,20498,15030,6041,8989,2880,1090,1790
重庆,488115,245856,242259,195759,107015,88744,201675,97514,104161,75456,34797,40659,15225,6530,8695
四川,1412294,704476,707818,551709,303402,248307,592005,282438,309567,221883,99155,122728,46697,19481,27216
贵州,446686,217427,229259,189851,99935,89916,170481,79296,91185,71169,31448,39721,15185,6748,8437
云南,514563,247803,266760,219938,116480,103458,204988,93409,111579,69556,29771,39785,20081,8143,11938
西藏,20828,9304,11524,5110,2491,2619,10105,4516,5589,4478,1875,2603,1135,422,713
陕西,487378,239095,248283,193803,104722,89081,202206,94348,107858,75574,33210,42364,15795,6815,8980
甘肃,338325,168184,170141,118592,66042,52550,137527,65796,71731,70267,31297,38970,11939,5049,6890
青海,51945,25059,26886,19806,10513,9293,21790,10238,11552,8436,3552,4884,1913,756,1157
宁夏,61207,30331,30876,24491,13529,10962,25235,11892,13343,9462,4031,5431,2019,879,1140
新疆,201515,101793,99722,72501,40531,31970,92420,44866,47554,30186,13575,16611,6408,2821,3587
